ID,Country,Education,First Contact,Last Contact,Status,Stage,First Call,Signed up for a demo,Filled in customer survey,Did sign up to the platform,Account Manager assigned,Subscribed,subscribed,Message1,Message2,Message3,Origin,Terminated
1,unknown,,,,,,,,,2022-04-27,,,False,,,,2000-01-01,2100-01-01
2,austria,,,,,,2022-04-28,2022-04-25,2022-04-25,2022-04-25,,,False,,,,2000-01-01,2100-01-01
3,united arab emirates,,,,,,,2022-04-24,,,,,False,,,,2000-01-01,2100-01-01
4,france,,,,,,2022-04-22,2022-04-20,2022-04-20,2022-04-22,2022-04-22,,False,,,,2000-01-01,2100-01-01
5,usa,,,,,,2022-04-23,2022-04-19,2022-04-19,,,,False,,,,2000-01-01,2100-01-01
6,usa,,,,,,,2022-04-18,,,,,False,,,,2000-01-01,2100-01-01
7,unknown,,,,,,,2022-04-18,,,,,False,,,,2000-01-01,2100-01-01
8,canada,,,,,,,2022-04-15,2022-04-16,2022-04-16,,,False,,,,2000-01-01,2100-01-01
9,canada,,,,,,,2022-04-12,,,,,False,,,,2000-01-01,2100-01-01
10,canada,,,,,,2022-04-26,2022-04-12,2022-04-12,2022-04-15,,,False,,,,2000-01-01,2100-01-01
11,canada,,,,,,,2022-04-12,2022-04-12,,,,False,,,,2000-01-01,2100-01-01
12,canada,,,,,,,2022-04-12,2022-04-12,,,,False,,,,2000-01-01,2100-01-01
13,canada,,,,,,2022-04-14,2022-04-11,2022-04-12,2022-04-12,2022-04-14,2022-04-16,True,,,,2000-01-01,2100-01-01
14,switzerland,,,,,,2022-04-11,2022-04-08,2022-04-08,2022-04-08,2022-04-13,2022-04-16,True,,,,2000-01-01,2100-01-01
15,iran,,,,,,,2022-04-08,2022-04-08,,,,False,,,,2000-01-01,2100-01-01
16,germany,,,,,,2022-04-13,2022-04-08,2022-04-08,2022-04-08,,,False,,,,2000-01-01,2100-01-01
17,unknown,,,,,,,2022-04-08,2022-04-08,,,,False,,,,2000-01-01,2100-01-01
18,canada,,,,,,,2022-04-08,,,,,False,,,,2000-01-01,2100-01-01
19,italy,,,,,,,2022-04-08,2022-04-08,2022-04-08,,,False,,,,2000-01-01,2100-01-01
20,germany,,,,,,,2022-04-08,2022-04-09,,,,False,,,,2000-01-01,2100-01-01
21,unknown,,,,,,2022-04-11,2022-04-07,2022-04-07,,,,False,,,,2000-01-01,2100-01-01
22,united arab emirates,,,,,,2022-04-21,2022-04-07,2022-04-08,2022-04-08,2022-04-22,2022-04-27,True,,,,2000-01-01,2100-01-01
23,germany,,,,,,,2022-04-06,,,,,False,,,,2000-01-01,2100-01-01
24,germany,,,,,,2022-04-07,2022-04-04,2022-04-04,2022-04-11,,2022-04-18,True,,,,2000-01-01,2100-01-01
25,united arab emirates,,,,,,2022-04-08,2022-04-04,2022-04-04,2022-04-05,,,False,,,,2000-01-01,2100-01-01
26,united arab emirates,,,,,,,2022-04-02,,,,,False,,,,2000-01-01,2100-01-01
27,united arab emirates,,,,,,2022-04-12,2022-04-02,2022-04-02,2022-04-02,,,False,,,,2000-01-01,2100-01-01
28,unknown,,,,,,,,,2022-03-31,,,False,,,,2000-01-01,2100-01-01
29,usa,,,,,,2022-04-06,2022-03-30,2022-04-03,,,,False,,,,2000-01-01,2100-01-01
30,unknown,,,,,,2022-04-04,,,,,,False,,,,2000-01-01,2100-01-01
31,lebanon,,,,,,,2022-03-30,,,,,False,,,,2000-01-01,2100-01-01
32,usa,,,,,,,2022-03-28,,,,,False,,,,2000-01-01,2100-01-01
33,usa,,,,,,,2022-03-28,2022-03-29,,,,False,,,,2000-01-01,2100-01-01
34,usa,,,,,subscribed already,2022-03-30,2022-03-28,2022-03-28,2022-03-28,2022-03-31,2022-04-07,True,,,,2000-01-01,2100-01-01
35,uk,,,,,,,2022-03-29,2022-03-31,,,,False,,,,2000-01-01,2100-01-01
36,sweden,,,,,,,2022-03-29,2022-03-29,,,,False,,,,2000-01-01,2100-01-01
37,france,,,,,,,2022-03-26,2022-03-26,,,,False,,,,2000-01-01,2100-01-01
38,spain,,,,,,2022-04-06,2022-03-25,2022-03-29,2022-03-29,,,False,,,,2000-01-01,2100-01-01
39,brazil,,,,,,,2022-03-26,,,,,False,,,,2000-01-01,2100-01-01
40,unknown,,,,,,,2022-03-26,,,,,False,,,,2000-01-01,2100-01-01
41,usa,,,,,,,2022-03-24,2022-03-24,2022-03-24,,,False,,,,2000-01-01,2100-01-01
42,saudi arabia,,,,,,2022-03-28,2022-03-23,2022-03-23,2022-03-25,,,False,,,,2000-01-01,2100-01-01
43,algeria,,,,,,,2022-03-23,2022-03-23,,,,False,,,,2000-01-01,2100-01-01
44,morocco,,,,,,2022-03-26,2022-03-23,2022-03-23,2022-03-23,,,False,,,,2000-01-01,2100-01-01
45,nigeria,,,,,,2022-03-24,2022-03-23,2022-03-23,,,,False,,,,2000-01-01,2100-01-01
46,france,,,,,,,2022-03-23,2022-03-23,,,,False,,,,2000-01-01,2100-01-01
47,pakistan,,,,,,2022-03-21,2022-03-18,2022-03-18,2022-03-18,2022-03-21,,False,,,,2000-01-01,2100-01-01
48,australia,,,,,,2022-03-22,2022-03-17,2022-03-18,,,,False,,,,2000-01-01,2100-01-01
49,malaysia,,,,,,2022-03-17,2022-03-17,2022-03-17,2022-03-17,2022-03-18,,False,,,,2000-01-01,2100-01-01
50,australia,,,,,,2022-03-18,2022-03-17,2022-03-17,2022-03-18,,,False,,,,2000-01-01,2100-01-01
51,unknown,,,,,,,2022-03-16,2022-03-16,,,,False,,,,2000-01-01,2100-01-01
52,india,,,,,,,2022-03-15,2022-03-15,2022-03-15,,,False,,,,2000-01-01,2100-01-01
53,united arab emirates,,,,,,2022-03-17,2022-03-14,2022-03-14,2022-03-14,,,False,,,,2000-01-01,2100-01-01
54,germany,,,,,,,2022-03-11,2022-03-11,,,,False,,,,2000-01-01,2100-01-01
55,unknown,,,,,,,2022-03-11,2022-03-11,,,,False,,,,2000-01-01,2100-01-01
56,united arab emirates,,,,,,,2022-03-11,2022-03-11,,,,False,,,,2000-01-01,2100-01-01
57,canada,,,,,,,2022-03-10,2022-03-10,,,,False,,,,2000-01-01,2100-01-01
58,uk,,,,,,,2022-03-10,,,,,False,,,,2000-01-01,2100-01-01
59,india,,,,,,,2022-03-10,,,,,False,,,,2000-01-01,2100-01-01
60,saudi arabia,,,,,declined/canceled call,2022-03-14,2022-03-09,2022-03-11,,,,False,,,,2000-01-01,2100-01-01
61,saudi arabia,,,,,,,2022-03-09,,,,,False,,,,2000-01-01,2100-01-01
62,saudi arabia,,,,,,,2022-03-09,2022-03-09,,,,False,,,,2000-01-01,2100-01-01
63,saudi arabia,,,,,,2022-03-17,2022-03-08,2022-03-08,2022-03-08,,,False,,,,2000-01-01,2100-01-01
64,pakistan,,,,,,,2022-03-07,,,,,False,,,,2000-01-01,2100-01-01
65,saudi arabia,,,,,,2022-03-29,2022-03-07,2022-03-08,,,,False,,,,2000-01-01,2100-01-01
66,pakistan,,,,,,2022-03-09,2022-03-06,2022-03-06,2022-03-15,,,False,,,,2000-01-01,2100-01-01
67,canada,,,,,,,2022-03-05,,,,,False,,,,2000-01-01,2100-01-01
68,india,,,,,,,2022-03-04,,,,,False,,,,2000-01-01,2100-01-01
69,canada,,,,,,,2022-03-04,,,,,False,,,,2000-01-01,2100-01-01
70,unknown,,,,,,,,,2022-03-03,,,False,,,,2000-01-01,2100-01-01
71,unknown,,,,,,2022-03-03,,,,,,False,,,,2000-01-01,2100-01-01
72,nigeria,,,,,,2022-03-01,2022-03-01,2022-03-01,2022-03-01,,,False,,,,2000-01-01,2100-01-01
73,canada,,,,,,2022-03-02,2022-02-28,2022-02-28,2022-03-04,2022-03-04,,False,,,,2000-01-01,2100-01-01
74,unknown,,,,,,,2022-02-22,2022-02-23,,,,False,,,,2000-01-01,2100-01-01
75,unknown,,,2022-03-01,,,,,,2022-02-19,,,False,2022-03-01,2022-03-01,,2000-01-01,2100-01-01
76,usa,,,,,,,2022-02-17,,,,,False,,,,2000-01-01,2100-01-01
77,saudi arabia,,,,,,,2022-02-15,2022-02-15,,,,False,,,,2000-01-01,2100-01-01
78,france,,,,,,2022-02-15,2022-02-14,2022-02-15,,,,False,,,,2000-01-01,2100-01-01
79,bangladesh,,,,,,,2022-02-12,2022-02-13,,,,False,,,,2000-01-01,2100-01-01
80,saudi arabia,,,,,,,2022-02-12,,,,,False,,,,2000-01-01,2100-01-01
81,saudi arabia,,,,,,2022-03-09,2022-02-12,2022-02-13,,,,False,,,,2000-01-01,2100-01-01
82,unknown,,,,,,2022-02-15,,,,,,False,,,,2000-01-01,2100-01-01
83,saudi arabia,,,,,,,2022-02-12,,,,,False,,,,2000-01-01,2100-01-01
84,saudi arabia,,,,,,,2022-02-12,2022-02-12,,,,False,,,,2000-01-01,2100-01-01
85,saudi arabia,,,,,subscribed already,2022-02-12,2022-02-12,2022-02-12,2022-02-12,2022-02-14,2022-02-21,True,,,,2000-01-01,2100-01-01
86,italy,,,,,,2022-03-10,2022-02-12,2022-02-16,2022-02-16,,,False,,,,2000-01-01,2100-01-01
87,saudi arabia,,,,,declined/canceled call,2022-02-12,2022-02-12,2022-02-12,2022-02-12,,,False,,,,2000-01-01,2100-01-01
88,switzerland,,,,,,,2022-02-11,,,,,False,,,,2000-01-01,2100-01-01
89,saudi arabia,,,,,,2022-02-12,2022-02-11,2022-02-11,,,,False,,,,2000-01-01,2100-01-01
90,india,,,,,,2022-02-12,2022-02-11,2022-02-11,2022-02-11,,,False,,,,2000-01-01,2100-01-01
91,saudi arabia,,,,,,,2022-02-11,2022-02-12,,,,False,,,,2000-01-01,2100-01-01
92,saudi arabia,,,,,,,2022-02-11,,,,,False,,,,2000-01-01,2100-01-01
93,bolivia,,,,,,,2022-02-11,,,,,False,,,,2000-01-01,2100-01-01
94,china,,,,,subscribed already,2022-02-12,2022-02-10,2022-02-10,2022-02-10,2022-02-14,2022-02-25,True,,,,2000-01-01,2100-01-01
95,unknown,,,,,,2022-02-10,,,,,,False,,,,2000-01-01,2100-01-01
96,canada,,,,,,,2022-02-10,2022-02-12,,,,False,,,,2000-01-01,2100-01-01
97,germany,,,,,,2022-02-16,2022-02-10,2022-02-10,,,,False,,,,2000-01-01,2100-01-01
98,canada,,,,,declined/canceled call,,2022-02-09,2022-02-09,,,,False,,,,2000-01-01,2100-01-01
99,unknown,,,,,,,2022-02-09,2022-02-09,2022-03-11,,,False,,,,2000-01-01,2100-01-01
100,canada,,,,,subscribed already,2022-03-01,2022-02-08,2022-02-09,2022-03-07,2022-03-08,2022-03-14,True,,,,2000-01-01,2100-01-01
101,germany,,,,,,2022-02-04,2022-02-03,2022-02-03,2022-02-03,,,False,,,,2000-01-01,2100-01-01
102,portugal,,,,,,,2022-02-02,,,,,False,,,,2000-01-01,2100-01-01
103,germany,,,,,,,2022-02-02,,,,,False,,,,2000-01-01,2100-01-01
104,unknown,,,,,,,2022-02-01,,,,,False,,,,2000-01-01,2100-01-01
105,usa,,,,,,2022-02-05,2022-02-01,2022-02-01,,,,False,,,,2000-01-01,2100-01-01
106,unknown,,,,,,,2022-01-31,,,,,False,,,,2000-01-01,2100-01-01
107,canada,,,,,subscribed already,2022-02-02,2022-01-31,2022-01-31,2022-02-01,2022-02-04,2022-02-08,True,,,,2000-01-01,2100-01-01
108,canada,,,,,,,2022-01-31,2022-02-04,,,,False,,,,2000-01-01,2100-01-01
109,unknown,,,,,,2022-01-29,,,2022-01-28,,,False,,,,2000-01-01,2100-01-01
110,unknown,,,,,,2022-01-28,,,,,,False,,,,2000-01-01,2100-01-01
111,unknown,,,,,,2022-01-27,2022-01-27,2022-01-27,2022-01-27,2022-01-28,,False,,,,2000-01-01,2100-01-01
112,qatar,,,,,,,2022-01-23,2022-01-25,,,,False,,,,2000-01-01,2100-01-01
113,unknown,,,,,subscribed already,2022-01-17,2022-01-15,2022-01-15,,2022-01-26,2022-01-31,True,,,,2000-01-01,2100-01-01
114,unknown,,,,,did not join the call,,,,,,,False,,,,2000-01-01,2100-01-01
115,jordan,,,,,declined/canceled call,2022-01-13,2022-01-12,2022-01-12,2022-01-28,2022-02-09,,False,,,,2000-01-01,2100-01-01
116,saudi arabia,,,,,,2022-01-13,2022-01-12,2022-01-12,2022-01-12,,,False,,,,2000-01-01,2100-01-01
117,kuwait,,,,,,,2022-01-08,2022-01-08,,,,False,,,,2000-01-01,2100-01-01
118,uk,,,,,subscribed already,2022-01-08,2022-01-10,2022-01-10,2022-01-10,2022-01-24,2022-02-12,True,,,,2000-01-01,2100-01-01
119,croatia,,,,,,,2022-01-07,2022-01-07,,,,False,,,,2000-01-01,2100-01-01
120,bangladesh,,,,,,2022-01-08,2022-01-07,2022-01-07,,,,False,,,,2000-01-01,2100-01-01
121,usa,,,,,subscribed already,2022-01-08,2022-01-05,2022-01-06,2022-01-06,2022-01-10,2022-01-15,True,,,,2000-01-01,2100-01-01
122,croatia,,,,,,,2022-01-03,2022-01-03,2022-01-03,,,False,,,,2000-01-01,2100-01-01
123,egypt,,,,,,,2021-12-30,2021-12-30,,,,False,,,,2000-01-01,2100-01-01
124,turkey,,,,,,,2021-12-30,2021-12-30,,,,False,,,,2000-01-01,2100-01-01
125,guinea,,,,,,2022-01-05,2021-12-29,2021-12-30,2022-01-07,,,False,,,,2000-01-01,2100-01-01
126,canada,,,,,,,,,,,,False,,,,2000-01-01,2100-01-01
127,australia,,,,,,2022-01-05,2021-12-29,2021-12-29,,,,False,,,,2000-01-01,2100-01-01
128,nigeria,,,,,,2021-12-29,2021-12-29,2021-12-29,2021-12-30,,,False,,,,2000-01-01,2100-01-01
129,algeria,,,,,,,2021-12-27,2021-12-27,2021-12-27,,,False,,,,2000-01-01,2100-01-01
130,unknown,,,,,,,2021-12-27,2021-12-27,,,,False,,,,2000-01-01,2100-01-01
131,rwanda,,,,,,2021-12-27,2021-12-25,2021-12-25,2021-12-25,,,False,,,,2000-01-01,2100-01-01
132,unknown,,,,,,,2021-12-25,,,,,False,,,,2000-01-01,2100-01-01
133,france,,,,,,,2021-12-25,2021-12-29,2021-12-29,,,False,,,,2000-01-01,2100-01-01
134,rwanda,,,,,,,2021-12-24,,,,,False,,,,2000-01-01,2100-01-01
135,unknown,,,,,,2021-12-24,2021-12-22,2021-12-22,2021-12-22,,,False,,,,2000-01-01,2100-01-01
136,kuwait,,,,,,2021-12-22,2021-12-23,2021-12-23,2022-01-05,2022-01-10,,False,,,,2000-01-01,2100-01-01
137,canada,,,,,,,2021-12-21,2021-12-21,,,,False,,,,2000-01-01,2100-01-01
138,unknown,,,,,,2021-12-24,2021-12-22,2021-12-22,,,,False,,,,2000-01-01,2100-01-01
139,south africa,,,,,,2021-12-22,2021-12-22,,,,,False,,,,2000-01-01,2100-01-01
140,canada,,,,,subscribed already,2021-12-23,2021-12-22,2021-12-22,2021-12-23,2021-12-24,2021-12-26,True,,,,2000-01-01,2100-01-01
141,mexico,,,,,subscribed already,2021-12-22,2021-12-20,2021-12-20,2021-12-21,2022-01-03,2021-12-30,True,,,,2000-01-01,2100-01-01
142,unknown,,,,,,,2021-12-18,2021-12-19,,,,False,,,,2000-01-01,2100-01-01
143,united arab emirates,,,,,,,2021-12-19,2021-12-19,,,,False,,,,2000-01-01,2100-01-01
144,austria,,,,,,,2021-12-20,,,,,False,,,,2000-01-01,2100-01-01
145,uk,,,,,,2021-12-22,2021-12-20,2021-12-20,2021-12-22,2021-12-22,,False,,,,2000-01-01,2100-01-01
146,india,,,,,,,2021-12-17,,,,,False,,,,2000-01-01,2100-01-01
147,south africa,,,,,,2021-12-20,2021-12-17,2021-12-17,2021-12-17,2021-12-21,,False,,,,2000-01-01,2100-01-01
148,spain,,,,,,,2021-12-17,2021-12-17,,,,False,,,,2000-01-01,2100-01-01
149,uk,,,,,,,2021-12-17,,,,,False,,,,2000-01-01,2100-01-01
150,spain,,,,,,,2021-12-17,,,,,False,,,,2000-01-01,2100-01-01
151,bangladesh,,,,,,,2021-12-14,,,,,False,,,,2000-01-01,2100-01-01
152,usa,,,,,subscribed already,2021-12-18,2021-12-14,2021-12-14,2021-12-14,2021-12-19,2021-12-30,True,,,,2000-01-01,2100-01-01
153,indonesia,,,,,,,2021-12-14,2021-12-14,2021-12-14,,,False,,,,2000-01-01,2100-01-01
154,singapore,,,,,,,2021-12-14,2021-12-14,,,,False,,,,2000-01-01,2100-01-01
155,china,,,,,,,2021-12-14,,,,,False,,,,2000-01-01,2100-01-01
156,unknown,,,,,,2021-12-16,2021-12-14,2021-12-14,2021-12-15,2021-12-16,,False,,,,2000-01-01,2100-01-01
157,nigeria,,,,,,,2021-12-11,2021-12-13,,,,False,,,,2000-01-01,2100-01-01
158,tunisia,,,,,,,2021-12-12,,,,,False,,,,2000-01-01,2100-01-01
159,israel,,,,,,,2021-12-12,,,,,False,,,,2000-01-01,2100-01-01
160,usa,,,,,,,2021-12-10,,,,,False,,,,2000-01-01,2100-01-01
161,usa,,,,,,2021-12-13,2021-12-10,2021-12-10,2021-12-10,,,False,,,,2000-01-01,2100-01-01
162,unknown,,,,,subscribed already,2022-01-08,2021-12-11,2021-12-11,2021-12-11,2022-01-11,2022-01-16,True,,,,2000-01-01,2100-01-01
164,unknown,,,,,,2021-12-15,2021-12-11,2021-12-11,,,,False,,,,2000-01-01,2100-01-01
165,unknown,,,,,,,2021-12-11,,,,,False,,,,2000-01-01,2100-01-01
166,usa,,,,,,,2021-12-07,2021-12-07,,,,False,,,,2000-01-01,2100-01-01
167,saudi arabia,,,,,,,2021-12-03,2021-12-03,,,,False,,,,2000-01-01,2100-01-01
168,canada,,,,,,2021-12-06,2021-12-03,2021-12-03,2021-12-03,,,False,,,,2000-01-01,2100-01-01
169,unknown,,,,,,,2021-11-25,,,,,False,,,,2000-01-01,2100-01-01
170,unknown,,,,,subscribed already,2021-11-26,2021-11-24,2021-11-24,2021-11-24,2021-12-01,2023-12-31,True,,,,2000-01-01,2100-01-01
171,unknown,,,,,,,2021-11-23,2021-11-25,,,,False,,,,2000-01-01,2100-01-01
172,unknown,,,,,,,2021-11-24,,,,,False,,,,2000-01-01,2100-01-01
173,unknown,,,,,,,2021-11-24,,,,,False,,,,2000-01-01,2100-01-01
174,unknown,,,,,,,2021-11-22,,,,,False,,,,2000-01-01,2100-01-01
175,france,,,,,,,2021-11-22,,,,,False,,,,2000-01-01,2100-01-01
176,usa,,,,,subscribed already,2021-12-07,2021-11-22,2021-11-23,2021-12-03,2021-12-08,2021-12-08,True,,,,2000-01-01,2100-01-01
177,greece,,,,,,2021-12-04,2021-11-21,2021-11-21,2021-11-21,,,False,,,,2000-01-01,2100-01-01
178,tunisia,,,,,,,2021-11-21,,,,,False,,,,2000-01-01,2100-01-01
179,france,,,,,,,2021-11-21,2021-11-21,,,,False,,,,2000-01-01,2100-01-01
180,egypt,,,,,,,2021-11-21,,,,,False,,,,2000-01-01,2100-01-01
181,senegal,,,,,,,2021-11-21,,,,,False,,,,2000-01-01,2100-01-01
182,unknown,,,,,,2021-11-23,,,,,,False,,,,2000-01-01,2100-01-01
183,usa,,,,,,2021-11-23,2021-12-01,2021-12-02,2021-12-02,,,False,,,,2000-01-01,2100-01-01
184,unknown,,,,,,2021-11-23,,,,,,False,,,,2000-01-01,2100-01-01
185,kenya,,,,,,,2021-11-16,2021-11-16,,,,False,,,,2000-01-01,2100-01-01
186,saudi arabia,,,,,,,2021-11-16,,,,,False,,,,2000-01-01,2100-01-01
187,saudi arabia,,,,,,,2021-11-16,2021-11-16,,,,False,,,,2000-01-01,2100-01-01
188,south korea,,,,,,,2021-11-16,,,,,False,,,,2000-01-01,2100-01-01
189,tunisia,,,,,,,2021-11-13,2021-11-13,,,,False,,,,2000-01-01,2100-01-01
190,saudi arabia,,,,,,,2021-11-15,,,,,False,,,,2000-01-01,2100-01-01
191,unknown,,,,,,,,,,,,False,,,,2000-01-01,2100-01-01
192,unknown,,,,,,,,,,,,False,,,,2000-01-01,2100-01-01
193,unknown,,,,,declined/canceled call,,,,,,,False,,,,2000-01-01,2100-01-01
194,unknown,,,,,declined/canceled call,,,,,,,False,,,,2000-01-01,2100-01-01
195,unknown,,,,,declined/canceled call,,,,,,,False,,,,2000-01-01,2100-01-01
196,unknown,,,,,declined/canceled call,,,,,,,False,,,,2000-01-01,2100-01-01
197,unknown,,,,,,,2021-11-08,,,,,False,,,,2000-01-01,2100-01-01
198,australia,,,,,subscribed already,2021-11-11,2021-11-07,2021-11-09,2021-11-11,2021-11-11,2021-11-21,True,,,,2000-01-01,2100-01-01
199,canada,,,,,,,2021-11-03,,,,,False,,,,2000-01-01,2100-01-01
200,bangladesh,,,,,,2021-11-06,2021-11-02,2021-11-02,,,,False,,,,2000-01-01,2100-01-01
201,philippines,,,,,,,2021-11-02,,,,,False,,,,2000-01-01,2100-01-01
203,indonesia,,,,,declined/canceled call,,2021-11-02,2021-11-03,,,,False,,,,2000-01-01,2100-01-01
204,singapore,,,,,,,2021-11-02,,,,,False,,,,2000-01-01,2100-01-01
205,malaysia,,,,,,,2021-11-27,,,,,False,,,,2000-01-01,2100-01-01
206,india,,,,,,,2021-10-27,,,,,False,,,,2000-01-01,2100-01-01
207,canada,,,,,,2021-11-04,2021-10-27,2021-10-28,,,,False,,,,2000-01-01,2100-01-01
208,spain,,,,,,,2021-10-28,,,,,False,,,,2000-01-01,2100-01-01
209,switzerland,,,,,,2021-11-16,,,,,,False,,,,2000-01-01,2100-01-01
210,unknown,,,,,,,2021-10-26,,,,,False,,,,2000-01-01,2100-01-01
211,greece,,,,,,,2021-10-27,,,,,False,,,,2000-01-01,2100-01-01
212,south korea,,,,,,2021-11-06,2021-10-27,2021-10-27,,,,False,,,,2000-01-01,2100-01-01
213,canada,,,,,subscribed already,2021-11-03,2021-10-26,2021-10-26,2021-11-06,2021-11-06,2023-12-31,True,,,,2000-01-01,2100-01-01
214,unknown,,,,,,,2021-10-27,2021-10-27,,,,False,,,,2000-01-01,2100-01-01
215,canada,,,,,,,2021-10-26,,,,,False,,,,2000-01-01,2100-01-01
216,spain,,,,,,,2021-10-26,,,,,False,,,,2000-01-01,2100-01-01
217,iran,,,,,,,2021-10-25,2021-10-26,,,,False,,,,2000-01-01,2100-01-01
218,canada,,,,,,2021-11-03,2021-10-25,2021-10-27,,,,False,,,,2000-01-01,2100-01-01
219,india,,,,,,,2021-10-26,,,,,False,,,,2000-01-01,2100-01-01
220,canada,,,,,subscribed already,2021-10-26,2021-10-25,2021-10-26,2021-10-28,2021-12-28,2021-10-28,True,,,,2000-01-01,2100-01-01
221,taiwan,,,,,,,2021-10-25,,,,,False,,,,2000-01-01,2100-01-01
222,japan,,,,,,,2021-10-25,,,,,False,,,,2000-01-01,2100-01-01
223,tunisia,,,,,,2021-11-02,2021-10-25,2021-10-26,,,,False,,,,2000-01-01,2100-01-01
224,china,,,,,,,2021-10-25,,,,,False,,,,2000-01-01,2100-01-01
225,argentina,,,,,,,2021-10-25,,,,,False,,,,2000-01-01,2100-01-01
226,tunisia,,,,,,,2021-10-25,,,,,False,,,,2000-01-01,2100-01-01
227,india,,,,,,2021-11-08,2021-10-25,2021-10-27,,,,False,,,,2000-01-01,2100-01-01
228,tunisia,,,,,declined/canceled call,2021-11-01,2021-10-25,2021-10-26,,,,False,,,,2000-01-01,2100-01-01
229,portugal,,,,,,,2021-10-25,,,,,False,,,,2000-01-01,2100-01-01
230,georgia,,,,,,2021-11-09,2021-10-25,2021-10-26,2021-11-20,2021-11-22,,False,,,,2000-01-01,2100-01-01
231,nigeria,,,,,,,2021-10-25,2021-10-31,,,,False,,,,2000-01-01,2100-01-01
232,unknown,,,,,,,2021-10-25,,,,,False,,,,2000-01-01,2100-01-01
233,pakistan,,,,,,,2021-10-25,2021-10-25,,,,False,,,,2000-01-01,2100-01-01
234,germany,,,,,,2021-11-02,2021-10-24,2021-10-25,,,,False,,,,2000-01-01,2100-01-01
235,germany,,,,,,,2021-10-23,,,,,False,,,,2000-01-01,2100-01-01
236,egypt,,,,,,,2021-10-23,,,,,False,,,,2000-01-01,2100-01-01
237,germany,,,,,,,2021-10-24,,,,,False,,,,2000-01-01,2100-01-01
238,tunisia,,,,,,,2021-10-24,2021-10-25,,,,False,,,,2000-01-01,2100-01-01
239,egypt,,,,,,2021-11-01,2021-10-24,2021-10-25,,,,False,,,,2000-01-01,2100-01-01
240,china,,,,,,,2021-10-24,2021-10-25,,,,False,,,,2000-01-01,2100-01-01
241,spain,,,,,,2021-10-27,2021-10-24,2021-10-25,,,,False,,,,2000-01-01,2100-01-01
242,germany,,,,,,,2021-10-24,2021-10-25,,,,False,,,,2000-01-01,2100-01-01
243,brazil,,,,,,2021-11-01,2021-10-24,2021-10-25,,,,False,,,,2000-01-01,2100-01-01
244,unknown,,,,,,2021-10-25,2021-10-21,2021-10-23,,,,False,,,,2000-01-01,2100-01-01
245,unknown,,,,,,,2021-10-20,2021-11-10,,,,False,,,,2000-01-01,2100-01-01
246,usa,,,,,,,2021-10-18,,,,,False,,,,2000-01-01,2100-01-01
247,unknown,,,,,,,2021-10-16,,,,,False,,,,2000-01-01,2100-01-01
248,india,,,,,,,2021-10-16,2021-10-19,,,,False,,,,2000-01-01,2100-01-01
249,unknown,,,,,,2021-10-19,2021-10-15,2021-10-19,,,,False,,,,2000-01-01,2100-01-01
250,unknown,,,,,,2021-10-23,2021-10-15,2021-10-20,,,,False,,,,2000-01-01,2100-01-01
251,unknown,,,,,,,2021-10-14,2021-10-23,,,,False,,,,2000-01-01,2100-01-01
252,unknown,,,,,,,2021-10-14,2021-10-15,,,,False,,,,2000-01-01,2100-01-01
253,unknown,,,,,,,2021-10-15,,,,,False,,,,2000-01-01,2100-01-01
254,unknown,,,,,,,2021-10-14,,,,,False,,,,2000-01-01,2100-01-01
255,unknown,,,,,,,2021-10-14,,,,,False,,,,2000-01-01,2100-01-01
256,unknown,,,,,,,2021-10-15,,,,,False,,,,2000-01-01,2100-01-01
257,uk,,,,,,,2021-10-14,2021-10-14,,,,False,,,,2000-01-01,2100-01-01
258,bulgaria,,,,,,2021-10-28,,,,,,False,,,,2000-01-01,2100-01-01
259,netherlands,,,,,,2021-10-16,2021-10-13,2021-10-14,,,,False,,,,2000-01-01,2100-01-01
260,unknown,,,,,,,2021-10-13,2021-10-14,,,,False,,,,2000-01-01,2100-01-01
261,saudi arabia,,,,,,,2021-10-11,,,,,False,,,,2000-01-01,2100-01-01
262,unknown,,,,,,,2021-10-11,,,,,False,,,,2000-01-01,2100-01-01
263,india,,,,,,,2021-10-12,,,,,False,,,,2000-01-01,2100-01-01
264,tunisia,,,,,,,2021-10-12,,,,,False,,,,2000-01-01,2100-01-01
265,india,,,,,,,2021-10-12,,,,,False,,,,2000-01-01,2100-01-01
266,india,,,,,,,2021-10-11,2021-10-12,2021-10-18,,,False,,,,2000-01-01,2100-01-01
267,lebanon,,,,,,2021-10-19,2021-10-11,2021-10-12,,,,False,,,,2000-01-01,2100-01-01
268,italy,,,,,,2021-10-15,2021-10-12,2021-10-12,,,,False,,,,2000-01-01,2100-01-01
269,unknown,,,,,,,2021-10-09,,,,,False,,,,2000-01-01,2100-01-01
270,saudi arabia,,,,,,,2021-10-09,,,,,False,,,,2000-01-01,2100-01-01
271,hungary,,,,,,,2021-10-09,,,,,False,,,,2000-01-01,2100-01-01
272,unknown,,,,,,,2021-10-09,,,,,False,,,,2000-01-01,2100-01-01
273,unknown,,,,,,2021-10-20,2021-10-09,2021-10-12,,,,False,,,,2000-01-01,2100-01-01
274,unknown,,,,,,,2021-10-09,2021-10-12,,,,False,,,,2000-01-01,2100-01-01
275,unknown,,,,,,,2021-10-09,,,,,False,,,,2000-01-01,2100-01-01
