ID,Country,Education,First Contact,Last Contact,Status,Stage,First Call,Signed up for a demo,Filled in customer survey,Did sign up to the platform,Account Manager assigned,Subscribed
1,,,,,,,,,,2022-04-27,,
2,Austria,,,,,,2022-04-28,2022-04-25,2022-04-25,2022-04-25,,
3,United Arab Emirates,,,,,,,2022-04-24,,,,
4,France,,,,,,2022-04-22,2022-04-20,2022-04-20,2022-04-22,2022-04-22,
5,USA,,,,,,2022-04-23,2022-04-19,2022-04-19,,,
6,USA,,,,,,,2022-04-18,,,,
7,,,,,,,,2022-04-18,,,,
8,Canada,,,,,,,2022-04-15,2022-04-16,2022-04-16,,
9,Canada,,,,,,,2022-04-12,,,,
10,Canada,,,,,,2022-04-26,2022-04-12,2022-04-12,2022-04-15,,
11,Canada,,,,,,,2022-04-12,2022-04-12,,,
12,Canada,,,,,,,2022-04-12,2022-04-12,,,
13,Canada,,,,,,2022-04-14,2022-04-11,2022-04-12,2022-04-12,2022-04-14,2022-04-16
14,Switzerland,,,,,,2022-04-11,2022-04-08,2022-04-08,2022-04-08,2022-04-13,2022-04-16
15,Iran,,,,,,,2022-04-08,2022-04-08,,,
16,Germany,,,,,,2022-04-13,2022-04-08,2022-04-08,2022-04-08,,
17,,,,,,,,2022-04-08,2022-04-08,,,
18,Canada,,,,,,,2022-04-08,,,,
19,Italy,,,,,,,2022-04-08,2022-04-08,2022-04-08,,
20,Germany,,,,,,,2022-04-08,2022-04-09,,,
21,,,,,,,2022-04-11,2022-04-07,2022-04-07,,,
22,United Arab Emirates,,,,,,2022-04-21,2022-04-07,2022-04-08,2022-04-08,2022-04-22,2022-04-27
23,Germany,,,,,,,2022-04-06,,,,
24,Germany,,,,,,2022-04-07,2022-04-04,2022-04-04,2022-04-11,,2022-04-18
25,United Arab Emirates,,,,,,2022-04-08,2022-04-04,2022-04-04,2022-04-05,,
26,United Arab Emirates,,,,,,,2022-04-02,,,,
27,United Arab Emirates,,,,,,2022-04-12,2022-04-02,2022-04-02,2022-04-02,,
28,,,,,,,,,,2022-03-31,,
29,USA,,,,,,2022-04-06,2022-03-30,2022-04-03,,,
30,,,,,,,2022-04-04,,,,,
31,Lebanon,,,,,,,2022-03-30,,,,
32,USA,,,,,,,2022-03-28,,,,
33,USA,,,,,,,2022-03-28,2022-03-29,,,
34,USA,,,,,subscribed already,2022-03-30,2022-03-28,2022-03-28,2022-03-28,2022-03-31,2022-04-07
35,UK,,,,,,,2022-03-29,2022-03-31,,,
36,Sweden,,,,,,,2022-03-29,2022-03-29,,,
37,France,,,,,,,2022-03-26,2022-03-26,,,
38,Spain,,,,,,2022-04-06,2022-03-25,2022-03-29,2022-03-29,,
39,Brazil,,,,,,,2022-03-26,,,,
40,,,,,,,,2022-03-26,,,,
41,USA,,,,,,,2022-03-24,2022-03-24,2022-03-24,,
42,Saudi Arabia,,,,,,2022-03-28,2022-03-23,2022-03-23,2022-03-25,,
43,Algeria,,,,,,,2022-03-23,2022-03-23,,,
44,Morocco,,,,,,2022-03-26,2022-03-23,2022-03-23,2022-03-23,,
45,Nigeria,,,,,,2022-03-24,2022-03-23,2022-03-23,,,
46,France,,,,,,,2022-03-23,2022-03-23,,,
47,Pakistan,,,,,,2022-03-21,2022-03-18,2022-03-18,2022-03-18,2022-03-21,
48,Australia,,,,,,2022-03-22,2022-03-17,2022-03-18,,,
49,Malaysia,,,,,,2022-03-17,2022-03-17,2022-03-17,2022-03-17,2022-03-18,
50,Australia,,,,,,2022-03-18,2022-03-17,2022-03-17,2022-03-18,,
51,,,,,,,,2022-03-16,2022-03-16,,,
52,India,,,,,,,2022-03-15,2022-03-15,2022-03-15,,
53,United Arab Emirates,,,,,,2022-03-17,2022-03-14,2022-03-14,2022-03-14,,
54,Germany,,,,,,,2022-03-11,2022-03-11,,,
55,,,,,,,,2022-03-11,2022-03-11,,,
56,United Arab Emirates,,,,,,,2022-03-11,2022-03-11,,,
57,Canada,,,,,,,2022-03-10,2022-03-10,,,
58,UK,,,,,,,2022-03-10,,,,
59,India,,,,,,,2022-03-10,,,,
60,Saudi Arabia,,,,,declined/canceled call,2022-03-14,2022-03-09,2022-03-11,,,
61,Saudi Arabia,,,,,,,2022-03-09,,,,
62,Saudi Arabia,,,,,,,2022-03-09,2022-03-09,,,
63,Saudi Arabia,,,,,,2022-03-17,2022-03-08,2022-03-08,2022-03-08,,
64,Pakistan,,,,,,,2022-03-07,,,,
65,Saudi Arabia,,,,,,2022-03-29,2022-03-07,2022-03-08,,,
66,Pakistan,,,,,,2022-03-09,2022-03-06,2022-03-06,2022-03-15,,
67,Canada,,,,,,,2022-03-05,,,,
68,India,,,,,,,2022-03-04,,,,
69,Canada,,,,,,,2022-03-04,,,,
70,,,,,,,,,,2022-03-03,,
71,,,,,,,2022-03-03,,,,,
72,Nigeria,,,,,,2022-03-01,2022-03-01,2022-03-01,2022-03-01,,
73,Canada,,,,,,2022-03-02,2022-02-28,2022-02-28,2022-03-04,2022-03-04,
74,,,,,,,,2022-02-22,2022-02-23,,,
75,,,,2022-03-01,,,,,,2022-02-19,,
76,USA,,,,,,,2022-02-17,,,,
77,Saudi Arabia,,,,,,,2022-02-15,2022-02-15,,,
78,France,,,,,,2022-02-15,2022-02-14,2022-02-15,,,
79,Bangladesh,,,,,,,2022-02-12,2022-02-13,,,
80,Saudi Arabia,,,,,,,2022-02-12,,,,
81,Saudi Arabia,,,,,,2022-03-09,2022-02-12,2022-02-13,,,
82,,,,,,,2022-02-15,,,,,
83,Saudi Arabia,,,,,,,2022-02-12,,,,
84,Saudi Arabia,,,,,,,2022-02-12,2022-02-12,,,
85,Saudi Arabia,,,,,subscribed already,2022-02-12,2022-02-12,2022-02-12,2022-02-12,2022-02-14,2022-02-21
86,Italy,,,,,,2022-03-10,2022-02-12,2022-02-16,2022-02-16,,
87,Saudi Arabia,,,,,declined/canceled call,2022-02-12,2022-02-12,2022-02-12,2022-02-12,,
88,Switzerland,,,,,,,2022-02-11,,,,
89,Saudi Arabia,,,,,,2022-02-12,2022-02-11,2022-02-11,,,
90,India,,,,,,2022-02-12,2022-02-11,2022-02-11,2022-02-11,,
91,Saudi Arabia,,,,,,,2022-02-11,2022-02-12,,,
92,Saudi Arabia,,,,,,,2022-02-11,,,,
93,Bolivia,,,,,,,2022-02-11,,,,
94,China,,,,,subscribed already,2022-02-12,2022-02-10,2022-02-10,2022-02-10,2022-02-14,2022-02-25
95,,,,,,,2022-02-10,,,,,
96,Canada,,,,,,,2022-02-10,2022-02-12,,,
97,Germany,,,,,,2022-02-16,2022-02-10,2022-02-10,,,
98,Canada,,,,,declined/canceled call,,2022-02-09,2022-02-09,,,
99,,,,,,,,2022-02-09,2022-02-09,2022-03-11,,
100,Canada,,,,,subscribed already,2022-03-01,2022-02-08,2022-02-09,2022-03-07,2022-03-08,2022-03-14
101,Germany,,,,,,2022-02-04,2022-02-03,2022-02-03,2022-02-03,,
102,Portugal,,,,,,,2022-02-02,,,,
103,Germany,,,,,,,2022-02-02,,,,
104,,,,,,,,2022-02-01,,,,
105,USA,,,,,,2022-02-05,2022-02-01,2022-02-01,,,
106,,,,,,,,2022-01-31,,,,
107,Canada,,,,,subscribed already,2022-02-02,2022-01-31,2022-01-31,2022-02-01,2022-02-04,2022-02-08
108,Canada,,,,,,,2022-01-31,2022-02-04,,,
109,,,,,,,2022-01-29,,,2022-01-28,,
110,,,,,,,2022-01-28,,,,,
111,,,,,,,2022-01-27,2022-01-27,2022-01-27,2022-01-27,2022-01-28,
112,Qatar,,,,,,,2022-01-23,2022-01-25,,,
113,,,,,,subscribed already,2022-01-17,2022-01-15,2022-01-15,,2022-01-26,2022-01-31
114,,,,,,did not join the call,,,,,,
115,Jordan,,,,,declined/canceled call,2022-01-13,2022-01-12,2022-01-12,2022-01-28,2022-02-09,
116,Saudi Arabia,,,,,,2022-01-13,2022-01-12,2022-01-12,2022-01-12,,
117,Kuwait,,,,,,,2022-01-08,2022-01-08,,,
118,UK,,,,,subscribed already,2022-01-08,2022-01-10,2022-01-10,2022-01-10,2022-01-24,2022-02-12
119,Croatia,,,,,,,2022-01-07,2022-01-07,,,
120,Bangladesh,,,,,,2022-01-08,2022-01-07,2022-01-07,,,
121,USA,,,,,subscribed already,2022-01-08,2022-01-05,2022-01-06,2022-01-06,2022-01-10,2022-01-15
122,Croatia,,,,,,,2022-01-03,2022-01-03,2022-01-03,,
123,Egypt,,,,,,,2021-12-30,2021-12-30,,,
124,Turkey,,,,,,,2021-12-30,2021-12-30,,,
125,Guinea,,,,,,2022-01-05,2021-12-29,2021-12-30,2022-01-07,,
126,Canada,,,,,,,,,,,
127,Australia,,,,,,2022-01-05,2021-12-29,2021-12-29,,,
128,Nigeria,,,,,,2021-12-29,2021-12-29,2021-12-29,2021-12-30,,
129,Algeria,,,,,,,2021-12-27,2021-12-27,2021-12-27,,
130,,,,,,,,2021-12-27,2021-12-27,,,
131,Rwanda,,,,,,2021-12-27,2021-12-25,2021-12-25,2021-12-25,,
132,,,,,,,,2021-12-25,,,,
133,France,,,,,,,2021-12-25,2021-12-29,2021-12-29,,
134,Rwanda,,,,,,,2021-12-24,,,,
135,,,,,,,2021-12-24,2021-12-22,2021-12-22,2021-12-22,,
136,Kuwait,,,,,,2021-12-22,2021-12-23,2021-12-23,2022-01-05,2022-01-10,
137,Canada,,,,,,,2021-12-21,2021-12-21,,,
138,,,,,,,2021-12-24,2021-12-22,2021-12-22,,,
139,South Africa,,,,,,2021-12-22,2021-12-22,,,,
140,Canada,,,,,subscribed already,2021-12-23,2021-12-22,2021-12-22,2021-12-23,2021-12-24,2021-12-26
141,Mexico,,,,,subscribed already,2021-12-22,2021-12-20,2021-12-20,2021-12-21,2022-01-03,2021-12-30
142,,,,,,,,2021-12-18,2021-12-19,,,
143,United Arab Emirates,,,,,,,2021-12-19,2021-12-19,,,
144,Austria,,,,,,,2021-12-20,,,,
145,UK,,,,,,2021-12-22,2021-12-20,2021-12-20,2021-12-22,2021-12-22,
146,India,,,,,,,2021-12-17,,,,
147,South Africa,,,,,,2021-12-20,2021-12-17,2021-12-17,2021-12-17,2021-12-21,
148,Spain,,,,,,,2021-12-17,2021-12-17,,,
149,UK,,,,,,,2021-12-17,,,,
150,Spain,,,,,,,2021-12-17,,,,
151,Bangladesh,,,,,,,2021-12-14,,,,
152,USA,,,,,subscribed already,2021-12-18,2021-12-14,2021-12-14,2021-12-14,2021-12-19,2021-12-30
153,Indonesia,,,,,,,2021-12-14,2021-12-14,2021-12-14,,
154,Singapore,,,,,,,2021-12-14,2021-12-14,,,
155,China,,,,,,,2021-12-14,,,,
156,,,,,,,2021-12-16,2021-12-14,2021-12-14,2021-12-15,2021-12-16,
157,Nigeria,,,,,,,2021-12-11,2021-12-13,,,
158,Tunisia,,,,,,,2021-12-12,,,,
159,Israel,,,,,,,2021-12-12,,,,
160,USA,,,,,,,2021-12-10,,,,
161,USA,,,,,,2021-12-13,2021-12-10,2021-12-10,2021-12-10,,
162,,,,,,subscribed already,2022-01-08,2021-12-11,2021-12-11,2021-12-11,2022-01-11,2022-01-16
164,,,,,,,2021-12-15,2021-12-11,2021-12-11,,,
165,,,,,,,,2021-12-11,,,,
166,USA,,,,,,,2021-12-07,2021-12-07,,,
167,Saudi Arabia,,,,,,,2021-12-03,2021-12-03,,,
168,Canada,,,,,,2021-12-06,2021-12-03,2021-12-03,2021-12-03,,
169,,,,,,,,2021-11-25,,,,
170,,,,,,subscribed already,2021-11-26,2021-11-24,2021-11-24,2021-11-24,2021-12-01,
171,,,,,,,,2021-11-23,2021-11-25,,,
172,,,,,,,,2021-11-24,,,,
173,,,,,,,,2021-11-24,,,,
174,,,,,,,,2021-11-22,,,,
175,France,,,,,,,2021-11-22,,,,
176,USA,,,,,subscribed already,2021-12-07,2021-11-22,2021-11-23,2021-12-03,2021-12-08,2021-12-08
177,Greece,,,,,,2021-12-04,2021-11-21,2021-11-21,2021-11-21,,
178,Tunisia,,,,,,,2021-11-21,,,,
179,France,,,,,,,2021-11-21,2021-11-21,,,
180,Egypt,,,,,,,2021-11-21,,,,
181,Senegal,,,,,,,2021-11-21,,,,
182,,,,,,,2021-11-23,,,,,
183,USA,,,,,,2021-11-23,2021-12-01,2021-12-02,2021-12-02,,
184,,,,,,,2021-11-23,,,,,
185,Kenya,,,,,,,2021-11-16,2021-11-16,,,
186,Saudi Arabia,,,,,,,2021-11-16,,,,
187,Saudi Arabia,,,,,,,2021-11-16,2021-11-16,,,
188,South Korea,,,,,,,2021-11-16,,,,
189,Tunisia,,,,,,,2021-11-13,2021-11-13,,,
190,Saudi Arabia,,,,,,,2021-11-15,,,,
191,,,,,,,,,,,,
192,,,,,,,,,,,,
193,,,,,,declined/canceled call,,,,,,
194,,,,,,declined/canceled call,,,,,,
195,,,,,,declined/canceled call,,,,,,
196,,,,,,declined/canceled call,,,,,,
197,,,,,,,,2021-11-08,,,,
198,Australia,,,,,subscribed already,2021-11-11,2021-11-07,2021-11-09,2021-11-11,2021-11-11,2021-11-21
199,Canada,,,,,,,2021-11-03,,,,
200,Bangladesh,,,,,,2021-11-06,2021-11-02,2021-11-02,,,
201,Philippines,,,,,,,2021-11-02,,,,
203,Indonesia,,,,,declined/canceled call,,2021-11-02,2021-11-03,,,
204,Singapore,,,,,,,2021-11-02,,,,
205,Malaysia,,,,,,,2021-11-27,,,,
206,India,,,,,,,2021-10-27,,,,
207,Canada,,,,,,2021-11-04,2021-10-27,2021-10-28,,,
208,Spain,,,,,,,2021-10-28,,,,
209,Switzerland,,,,,,2021-11-16,,,,,
210,,,,,,,,2021-10-26,,,,
211,Greece,,,,,,,2021-10-27,,,,
212,South Korea,,,,,,2021-11-06,2021-10-27,2021-10-27,,,
213,Canada,,,,,subscribed already,2021-11-03,2021-10-26,2021-10-26,2021-11-06,2021-11-06,
214,,,,,,,,2021-10-27,2021-10-27,,,
215,Canada,,,,,,,2021-10-26,,,,
216,Spain,,,,,,,2021-10-26,,,,
217,Iran,,,,,,,2021-10-25,2021-10-26,,,
218,Canada,,,,,,2021-11-03,2021-10-25,2021-10-27,,,
219,India,,,,,,,2021-10-26,,,,
220,Canada,,,,,subscribed already,2021-10-26,2021-10-25,2021-10-26,2021-10-28,2021-12-28,2021-10-28
221,Taiwan,,,,,,,2021-10-25,,,,
222,Japan,,,,,,,2021-10-25,,,,
223,Tunisia,,,,,,2021-11-02,2021-10-25,2021-10-26,,,
224,China,,,,,,,2021-10-25,,,,
225,Argentina,,,,,,,2021-10-25,,,,
226,Tunisia,,,,,,,2021-10-25,,,,
227,India,,,,,,2021-11-08,2021-10-25,2021-10-27,,,
228,Tunisia,,,,,declined/canceled call,2021-11-01,2021-10-25,2021-10-26,,,
229,Portugal,,,,,,,2021-10-25,,,,
230,Georgia,,,,,,2021-11-09,2021-10-25,2021-10-26,2021-11-20,2021-11-22,
231,Nigeria,,,,,,,2021-10-25,2021-10-31,,,
232,,,,,,,,2021-10-25,,,,
233,Pakistan,,,,,,,2021-10-25,2021-10-25,,,
234,Germany,,,,,,2021-11-02,2021-10-24,2021-10-25,,,
235,Germany,,,,,,,2021-10-23,,,,
236,Egypt,,,,,,,2021-10-23,,,,
237,Germany,,,,,,,2021-10-24,,,,
238,Tunisia,,,,,,,2021-10-24,2021-10-25,,,
239,Egypt,,,,,,2021-11-01,2021-10-24,2021-10-25,,,
240,China,,,,,,,2021-10-24,2021-10-25,,,
241,Spain,,,,,,2021-10-27,2021-10-24,2021-10-25,,,
242,Germany,,,,,,,2021-10-24,2021-10-25,,,
243,Brazil,,,,,,2021-11-01,2021-10-24,2021-10-25,,,
244,,,,,,,2021-10-25,2021-10-21,2021-10-23,,,
245,,,,,,,,2021-10-20,2021-11-10,,,
246,USA,,,,,,,2021-10-18,,,,
247,,,,,,,,2021-10-16,,,,
248,India,,,,,,,2021-10-16,2021-10-19,,,
249,,,,,,,2021-10-19,2021-10-15,2021-10-19,,,
250,,,,,,,2021-10-23,2021-10-15,2021-10-20,,,
251,,,,,,,,2021-10-14,2021-10-23,,,
252,,,,,,,,2021-10-14,2021-10-15,,,
253,,,,,,,,2021-10-15,,,,
254,,,,,,,,2021-10-14,,,,
255,,,,,,,,2021-10-14,,,,
256,,,,,,,,2021-10-15,,,,
257,UK,,,,,,,2021-10-14,2021-10-14,,,
258,Bulgaria,,,,,,2021-10-28,,,,,
259,Netherlands,,,,,,2021-10-16,2021-10-13,2021-10-14,,,
260,,,,,,,,2021-10-13,2021-10-14,,,
261,Saudi Arabia,,,,,,,2021-10-11,,,,
262,,,,,,,,2021-10-11,,,,
263,India,,,,,,,2021-10-12,,,,
264,Tunisia,,,,,,,2021-10-12,,,,
265,India,,,,,,,2021-10-12,,,,
266,India,,,,,,,2021-10-11,2021-10-12,2021-10-18,,
267,Lebanon,,,,,,2021-10-19,2021-10-11,2021-10-12,,,
268,Italy,,,,,,2021-10-15,2021-10-12,2021-10-12,,,
269,,,,,,,,2021-10-09,,,,
270,Saudi Arabia,,,,,,,2021-10-09,,,,
271,Hungary,,,,,,,2021-10-09,,,,
272,,,,,,,,2021-10-09,,,,
273,,,,,,,2021-10-20,2021-10-09,2021-10-12,,,
274,,,,,,,,2021-10-09,2021-10-12,,,
275,,,,,,,,2021-10-09,,,,
276,Morocco,,,,,subscribed already,2021-10-12,2021-10-10,2021-10-11,2021-10-20,2021-11-10,2021-11-22
277,Switzerland,,,,,,,2021-10-08,,,,
278,Canada,,,,,,,,,,,
279,USA,,,,,,2021-10-05,,,,,
280,,,,,,did not join the call,2021-10-12,2021-10-07,2021-10-07,,,
281,Germany,,,,,,,2021-09-27,,,,
282,UK,,,,,,,2021-09-27,2021-09-27,2021-09-28,,
283,UK,,,,,,,2021-09-22,,,,
284,,,,,,,,2021-09-12,,,,
285,,,,,,subscribed already,2020-06-25,,,2020-07-28,2022-02-01,2020-10-01
286,,,,,,subscribed already,2020-08-31,,,2020-09-01,2020-11-11,2020-11-11
287,USA,B27,,,,subscribed already,2020-06-19,,,2020-07-07,,2020-09-15
288,,,,,,did not join the call,2021-09-25,,,,,
289,USA,,,,1st message,,,2021-09-22,2021-09-26,2021-09-30,2021-10-01,
290,,,2021-08-14,2021-08-15,1st message,,,,,,,
291,,,2021-08-14,2021-08-15,1st message,subscribed already,2021-12-10,2021-12-05,2021-12-05,,2021-12-10,2021-12-14
292,,,2021-08-14,2021-08-15,1st message,,,,,,,
293,USA,B27,2021-08-04,2022-01-11,3rd message,,,,,,,
294,USA,B27,2021-08-04,2021-08-24,3rd message,,,,,,,
295,USA,B27,2021-08-04,2021-08-04,1st message,,,,,,,
296,USA,B27,2021-08-04,2021-08-04,2nd message,not interested,,,,,,
297,USA,B27,2021-08-04,2021-08-24,3rd message,,,,,,,
298,USA,B27,2021-08-04,2021-08-04,1st message,,,,,,,
299,USA,B27,2021-08-04,2021-08-04,1st message,,,,,,,
300,USA,B27,2021-08-04,2021-08-04,1st message,,,,,,,
301,USA,B27,2021-08-04,2021-08-04,1st message,,,,,,,
302,USA,B27,2021-08-04,2021-08-04,1st message,,,,,,,
303,,B27,2021-08-04,2021-08-04,3rd message,,2021-08-05,,,,,
304,,B27,2021-08-04,2021-08-04,3rd message,interested,2021-07-27,,,No,,
305,Canada,B27,2021-07-21,2022-03-18,1st message,,2021-07-27,,,2021-07-27,,
306,USA,B27,2021-07-21,2021-08-24,3rd message,,,,,,,
307,USA,B27,2021-07-21,2021-07-21,1st message,,,,,,,
308,USA,B27,2021-07-21,2021-07-21,1st message,,,,,,,
309,USA,B27,2021-07-21,2021-07-21,1st message,,,,,,,
310,USA,B27,2021-07-21,2021-08-24,3rd message,,,,,,,
311,USA,B27,2021-07-21,2021-07-21,1st message,,,,,,,
312,USA,B27,2021-07-14,2021-08-24,3rd message,,,,,,,
313,USA,B27,2021-07-14,2021-07-14,1st message,,,,,,,
314,USA,B27,2021-07-14,2021-08-24,3rd message,,,,,,,
315,USA,B27,2021-07-14,2021-07-14,1st message,,,,,,,
316,USA,B27,2021-07-14,2022-02-25,1st message,,,,,,,
317,USA,B27,2021-07-14,2021-07-14,1st message,,,,,,,
318,USA,B1,2021-07-10,2021-07-10,1st message,,,,,,,
319,USA,B1,2021-07-10,2021-07-10,1st message,,,,,,,
320,USA,B1,2021-07-10,2021-07-10,1st message,,,,,,,
321,Canada,B1,2021-07-10,2021-07-10,1st message,,,,,,,
322,Canada,B1,2021-07-10,2021-07-10,1st message,,,,,,,
323,Canada,B1,2021-07-10,2021-08-24,3rd message,,,,,,,
324,Canada,B1,2021-07-10,2021-08-24,3rd message,,,,,,,
325,Canada,B1,2021-07-10,2021-07-10,1st message,,,,,,,
326,Canada,B1,2021-07-10,2021-07-10,1st message,,,,,,,
327,USA,B27,2021-07-06,2021-07-06,1st message,,,,,,,
328,USA,B27,2021-07-06,2021-07-06,1st message,,,,,,,
329,USA,B27,2021-07-06,2021-07-06,1st message,,,,,,,
330,USA,B27,2021-07-06,2021-07-06,1st message,,,,,,,
331,USA,B27,2021-07-06,2021-07-06,1st message,,,,,,,
332,USA,B27,2021-07-06,2021-08-24,3rd message,,,,,,,
333,USA,B27,2021-07-06,2021-07-06,1st message,not interested,,,,,,
334,USA,B10,2021-07-03,2021-07-03,1st message,,,,,,,
335,USA,B10,2021-07-03,2021-07-03,1st message,,,,,,,
336,USA,B10,2021-07-03,2021-09-07,3rd message,,,,,,,
337,USA,B10,2021-07-03,2021-07-03,1st message,,,,,,,
338,USA,B10,2021-07-03,2021-07-03,1st message,,,,,,,
339,USA,B10,2021-07-03,2021-07-03,1st message,,,,,,,
340,USA,B11,2021-07-01,2021-07-01,1st message,,,,,,,
341,USA,B11,2021-07-01,2021-07-01,1st message,,,,,,,
342,USA,B11,2021-07-01,2021-08-25,3rd message,not interested,,,,,,
343,USA,B11,2021-07-01,2021-07-02,2nd message,not interested,,,,,,
344,USA,B11,2021-07-01,2021-07-01,1st message,,,,,,,
345,USA,B27,2021-06-30,2021-08-24,3rd message,,,,,,,
346,Canada,B27,2021-06-30,2021-06-30,1st message,,,,,,,
347,USA,,2021-06-30,2021-06-30,3rd message,interested,2021-07-13,,,2021-07-13,,
348,USA,B11,2021-06-28,2021-06-28,1st message,,,,,,,
349,USA,B11,2021-06-28,2021-08-24,3rd message,,,,,,,
350,USA,B11,2021-06-28,2021-06-28,1st message,,,,,,,
351,USA,B11,2021-06-28,2021-06-28,1st message,,,,,,,
352,USA,B11,2021-06-28,2021-06-28,1st message,,,,,,,
353,USA,B11,2021-06-28,2021-06-28,1st message,,,,,,,
354,USA,B11,2021-06-28,2021-06-28,1st message,,,,,,,
355,USA,B11,2021-06-25,2021-06-25,1st message,,,,,,,
356,USA,B11,2021-06-25,2021-08-25,3rd message,not interested,,,,20221-08-24,,
357,USA,B11,2021-06-25,2021-06-25,1st message,,,,,,,
358,USA,B11,2021-06-25,2021-06-25,1st message,,,,,,,
359,USA,B11,2021-06-25,2021-06-25,1st message,,,,,,,
360,USA,B11,2021-06-25,2021-06-25,1st message,,,,,,,
361,USA,B11,2021-06-25,2021-08-24,3rd message,,,,,,,
362,,,2021-06-23,2021-06-23,3rd message,interested,2021-06-26,,,2021-06-26,,
363,USA,B11,2021-06-23,2021-06-23,1st message,,,,,,,
364,USA,B11,2021-06-23,2021-06-23,1st message,,,,,,,
365,USA,B11,2021-06-23,2021-06-23,1st message,,,,,,,
366,USA,B11,2021-06-23,2021-06-23,2nd message,subscribed already,2021-06-28,,,2021-06-28,2021-07-19,2021-07-18
367,USA,B11,2021-06-23,2021-06-23,1st message,,,,,,,
368,USA,B11,2021-06-23,2021-08-24,3rd message,,,,,,,
369,USA,B11,2021-06-23,2021-06-23,2nd message,not interested,,,,,,
370,USA,B11,2021-06-23,2021-06-23,1st message,,,,,,,
371,USA,B11,2021-06-23,2021-06-23,1st message,,,,,,,
372,USA,B11,2021-06-23,2021-06-23,1st message,,,,,,,
373,USA,B11,2021-06-23,2021-06-23,1st message,not interested,,,,,,
374,,,2020-10-04,2021-06-23,1st message,subscribed already,2021-06-22,,,2021-06-22,2021-07-01,2021-06-28
375,USA,B11,2021-06-21,2021-06-21,1st message,,,,,,,
376,USA,B11,2021-06-21,2021-08-24,3rd message,,,,,,,
377,USA,B11,2021-06-21,2021-06-21,1st message,,,,,,,
378,USA,B11,2021-06-21,2021-06-21,1st message,,,,,,,
379,USA,B11,2021-06-21,2021-06-21,1st message,,,,,,,
380,USA,B11,2021-06-19,2021-06-19,1st message,not interested,,,,,,
381,USA,B11,2021-06-19,2021-06-19,1st message,,,,,,,
382,USA,B11,2021-06-19,2021-06-19,1st message,,,,,,,
383,USA,B11,2021-06-19,2021-06-19,1st message,,,,,,,
384,USA,B11,2021-06-19,2021-06-19,1st message,,,,,,,
385,USA,B11,2021-06-19,2022-02-25,2nd message,interested,2021-06-29,,,No,,
386,USA,B11,2021-06-19,2021-06-19,1st message,,,,,,,
387,USA,B11,2021-06-13,2021-06-13,1st message,,,,,,,
388,USA,B11,2021-06-13,2021-06-13,1st message,,,,,,,
389,USA,B11,2021-06-13,2021-06-13,1st message,,,,,,,
390,USA,B11,2021-06-13,2021-08-24,3rd message,,,,,,,
391,USA,B11,2021-06-13,2021-06-13,1st message,,,,,,,
392,USA,B11,2021-06-13,2021-06-13,1st message,,,,,,,
393,USA,B11,2021-06-13,2021-08-24,3rd message,,,,,,,
394,USA,B11,2021-06-13,2021-06-13,1st message,,,,,,,
395,USA,B11,2021-06-13,2021-06-13,1st message,,,,,,,
396,USA,B11,2021-06-13,2021-06-13,1st message,,,,,,,
397,USA,B11,2021-06-13,2021-08-24,3rd message,,,,,,,
398,USA,B11,2021-06-13,2021-06-13,1st message,,,,,,,
399,USA,B11,2021-06-13,2021-06-13,1st message,,,,,,,
400,USA,B11,2021-06-13,2021-06-13,1st message,,,,,,,
401,USA,B11,2021-06-13,2021-06-13,1st message,,,,,,,
402,USA,B11,2021-06-13,2021-06-13,1st message,,,,,,,
403,USA,B11,2021-06-13,2021-06-13,1st message,,,,,,,
404,USA,B11,2021-06-13,2021-06-13,1st message,,,,,,,
405,USA,B11,2021-06-13,2021-06-13,1st message,,,,,,,
406,USA,B11,2021-06-13,2022-03-18,1st message,,2021-06-16,,,2021-06-16,,
407,USA,B11,2021-06-13,2021-06-13,1st message,,,,,,,
408,USA,B11,2021-06-13,2021-06-13,1st message,,,,,,,
409,USA,B11,2021-06-13,2021-06-13,1st message,,,,,,,
410,USA,B11,2021-06-13,2021-06-13,1st message,,,,,,,
411,USA,B11,2021-06-13,2021-06-13,1st message,,,,,,,
412,USA,B11,2021-06-13,2021-06-13,1st message,,,,,,,
413,USA,B11,2021-06-11,2021-06-11,1st message,,,,,,,
414,USA,B11,2021-06-11,2021-06-11,1st message,,,,,,,
415,USA,B11,2021-06-11,2021-06-11,1st message,,,,,,,
416,USA,B11,2021-06-11,2022-03-20,1st message,,,,,,,
417,USA,B11,2021-06-11,2021-06-11,1st message,,,,,,,
418,USA,B11,2021-06-11,2021-06-11,1st message,,,,,,,
419,USA,B11,2021-06-11,2021-06-11,1st message,,,,,,,
420,USA,B11,2021-06-11,2021-06-11,1st message,,,,,,,
421,USA,B11,2021-06-11,2021-06-11,1st message,,,,,,,
422,USA,B11,2021-06-11,2021-08-24,3rd message,,,,,,,
423,USA,B11,2021-06-11,2021-06-11,1st message,,,,,,,
424,USA,B11,2021-06-11,2021-06-11,1st message,,,,,,,
425,USA,B11,2021-06-11,2021-06-11,1st message,,,,,,,
426,USA,B11,2021-06-11,2021-06-11,1st message,,,,,,,
427,USA,B11,2021-06-11,2021-06-11,1st message,,,,,,,
428,USA,B11,2021-06-11,2021-06-11,1st message,,,,,,,
429,USA,B11,2021-06-11,2021-06-11,1st message,,,,,,,
